AllWISE,RAJ2000,DEJ2000,Im,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ccf,ex,var,pmRA,e_pmRA,pmDE,e_pmDE,qph,d2M,2M,W1W2,W2W3
J030159.97+004215.1,45.4999082,0.7042054,Im,17.252,0.123,16.666,,12.02,,8.338,,,,,,,,0000,0,nnnn,-425.0,1029.0,-256.0,1088.0,BUUU,,2M,0.5859999999999985,4.646000000000001
J030159.61+004222.0,45.4983978,0.7061124,Im,17.675,0.183,16.708,,11.863,,8.939,0.526,,,,,,,0000,0,nnnn,6675.0,1209.0,-6770.0,1290.0,BUUC,,2M,0.9670000000000024,4.844999999999999
J030206.16+004308.9,45.5256692,0.7191649,Im,17.705,0.199,17.106,0.444,12.633,,8.716,,,,,,,,0000,0,nnnn,126.0,1578.0,537.0,1697.0,BCUU,,2M,0.5989999999999966,4.4730000000000025
J030205.05+004422.1,45.5210441,0.739482,Im,17.571,0.187,17.015,,12.652,,8.859,,,,,,,,0000,0,nnnn,-322.0,1566.0,-378.0,1647.0,BUUU,,2M,0.5560000000000009,4.363000000000001
J030207.55+004433.1,45.5314695,0.7425433,Im,17.443,0.151,16.723,,11.797,,8.626,,,,,,,,0000,0,nnnn,-1186.0,1295.0,2.0,1341.0,BUUU,,2M,0.7200000000000024,4.925999999999998
J030041.50+002751.9,45.1729209,0.464436,Im,17.774,0.205,17.234,,12.344,,8.709,,,,,,,,0000,0,nnnn,4818.0,2740.0,-7385.0,2449.0,BUUU,,2M,0.5399999999999991,4.890000000000002
J030041.84+002825.8,45.1743455,0.4738491,Im,17.946,0.216,16.954,,12.399,,8.64,,,,,,,,0000,0,nnnn,-1353.0,2228.0,-850.0,2339.0,BUUU,,2M,0.9920000000000008,4.5550000000000015
J030042.12+002852.1,45.1755112,0.4811458,Im,17.785,0.197,16.966,,12.413,,8.556,,,,,,,,0000,0,nnnn,-2098.0,1723.0,352.0,1760.0,BUUU,,2M,0.8189999999999991,4.553000000000001
J030049.10+002844.3,45.2046082,0.4789911,Im,17.88,0.208,17.074,,12.681,,9.104,,,,,,,,0000,0,nnnn,-462.0,1747.0,2183.0,1819.0,BUUU,,2M,0.8059999999999974,4.3930000000000025
J030045.33+002914.3,45.1888874,0.4873275,Im,17.746,0.188,17.239,0.46,12.679,,9.048,,,,,,,,0000,0,nnnn,-957.0,1808.0,114.0,1854.0,BCUU,,2M,0.5069999999999979,4.5600000000000005
J030037.09+002807.5,45.1545707,0.4687611,Im,17.819,0.206,16.82,,12.127,,9.12,,,,,,,,0000,0,nnnn,595.0,1853.0,-1750.0,1964.0,BUUU,,2M,0.9989999999999988,4.693
J030037.84+002914.5,45.1576877,0.4873729,Im,17.771,0.181,16.869,,12.205,,9.189,,,,,,,,0000,0,nnnn,1390.0,1607.0,-208.0,1673.0,BUUU,,2M,0.902000000000001,4.664
J030041.91+002953.2,45.1746558,0.498113,Im,17.235,0.122,16.673,0.271,12.061,,8.759,0.438,,,,,,,0000,0,nnnn,-711.0,970.0,-87.0,1030.0,BBUC,,2M,0.5620000000000012,4.611999999999998
J030039.18+003002.1,45.1632888,0.5005945,Im,17.345,0.138,16.493,0.239,12.087,,9.091,,,,,,,,0000,0,nnnn,-165.0,1087.0,0.0,1133.0,BBUU,,2M,0.8520000000000003,4.405999999999999
J030040.84+003027.2,45.1701968,0.5075595,Im,17.738,0.191,17.138,,12.559,,8.898,,,,,,,,0000,0,nnnn,870.0,1763.0,144.0,1873.0,BUUU,,2M,0.5999999999999979,4.579000000000002
J030043.16+003104.3,45.1798497,0.5178697,Im,17.148,0.112,16.205,0.186,12.133,,9.117,,,,,,,,0000,0,nnnn,474.0,797.0,-1664.0,848.0,BBUU,,2M,0.9430000000000014,4.071999999999999
J030049.24+003014.1,45.2052037,0.5039281,Im,17.884,0.202,16.862,0.32,12.725,,9.029,,,,,,,,0000,0,nnnn,-811.0,1676.0,-570.0,1824.0,BBUU,,2M,1.022000000000002,4.136999999999999
J030056.78+003126.8,45.2366073,0.5241311,Im,17.509,0.165,16.698,0.294,12.058,,8.881,,,,,,,,0000,0,nnnn,1699.0,1303.0,-455.0,1377.0,BBUU,,2M,0.8109999999999999,4.640000000000001
J030055.61+003129.6,45.2317131,0.5249052,Im,17.8,0.206,16.987,0.372,12.538,,8.71,,,,,,,,0000,0,nnnn,-279.0,1901.0,-377.0,2007.0,BCUU,,2M,0.8130000000000024,4.448999999999998
J030056.83+003149.5,45.23683,0.5304424,Im,16.868,0.097,16.23,0.201,12.168,,8.802,,,,,,,,0000,0,nnnn,200.0,703.0,93.0,740.0,ABUU,,2M,0.6379999999999981,4.062000000000001
J030050.77+003118.5,45.2115486,0.5218213,Im,17.717,0.186,17.199,,12.629,,9.047,,,,,,,,0000,0,nnnn,-374.0,1851.0,1066.0,1944.0,BUUU,,2M,0.5179999999999971,4.570000000000002
J030046.76+003116.3,45.1948475,0.5212126,Im,17.565,0.168,16.612,0.272,12.309,,9.072,,,,,,,,0000,0,nnnn,-1718.0,1247.0,-212.0,1322.0,BBUU,,2M,0.953000000000003,4.302999999999999
