AllWISE,RAJ2000,DEJ2000,Im,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ccf,ex,var,pmRA,e_pmRA,pmDE,e_pmDE,qph,d2M,2M
J025945.36+002130.2,44.9390157,0.3583975,Im,15.82,0.046,15.485,0.104,12.717,,9.149,,,,,,,,0000,0,0nnn,97,256,53,268,AAUU,,2M
J025947.24+002148.4,44.9468398,0.3634477,Im,15.375,0.038,15.177,0.081,12.31,,8.776,,,,,,,,0000,0,0nnn,-190,169,236,180,AAUU,,2M
J025949.77+002153.5,44.9573879,0.3648728,Im,17.651,0.17,17.362,,12.932,,9.311,,,,,,,,0000,0,nnnn,-209,1542,1083,1602,BUUU,,2M
J025949.34+002218.8,44.9555945,0.3718994,Im,17.549,0.158,17.297,0.515,12.321,,9.035,,,,,,,,0000,0,nnnn,164,1357,670,1431,BCUU,,2M
J025956.40+002138.7,44.9850352,0.3607753,Im,16.67,0.077,16.861,0.337,12.504,,8.891,,,,,,,,0000,0,nnnn,303,574,7,608,ABUU,,2M
J025955.30+002147.0,44.9804409,0.3630738,Im,17.813,0.21,16.775,0.307,12.567,,9.196,,,,,,,,0000,0,nnnn,1325,1627,1249,1745,BBUU,,2M
J025953.49+002134.6,44.9728754,0.3596308,Im,17.471,0.137,16.75,0.281,12.826,,9.132,,,,,,,,0000,0,nnnn,-487,1122,-259,1201,BBUU,,2M
J025954.15+002149.7,44.9756265,0.3638247,Im,14.952,0.031,14.869,0.065,12.787,0.53,9.116,0.515,15.578,0.071,15.159,0.09,15.231,0.169,0000,0,11nn,188,126,162,130,AACC,0.401,2M
J025957.36+002219.2,44.9890105,0.3720183,Im,16.463,0.068,16.019,0.149,12.458,,8.649,,,,,,,,0000,0,0nnn,156,466,529,500,ABUU,,2M
J025958.30+002229.2,44.9929471,0.3748036,Im,17.676,0.176,16.768,0.286,12.846,,9.013,,,,,,,,0000,0,nnnn,-2304,1338,-2424,1435,BBUU,,2M
J025956.23+002231.9,44.9843184,0.3755515,Im,16.397,0.066,16.55,0.269,12.474,,9.298,,,,,,,,0000,0,0nnn,143,455,-418,484,ABUU,,2M
J025952.06+002202.3,44.9669518,0.367323,Im,17.762,0.185,17.436,,12.825,,9.182,,,,,,,,0000,0,nnnn,28,1620,-1351,1682,BUUU,,2M
J025950.15+002223.9,44.9589843,0.3733306,Im,17.542,0.157,17.019,0.376,12.676,,9.132,,,,,,,,0000,0,nnnn,-1803,1340,-1481,1406,BCUU,,2M
J025954.40+002301.4,44.9766967,0.3837486,Im,16.475,0.069,16.393,0.241,12.788,,9.114,,,,,,,,0000,0,0nnn,611,481,-483,502,ABUU,,2M
J025942.19+002142.2,44.925792,0.3617345,Im,17.519,0.155,17.253,0.494,12.517,,8.948,,,,,,,,0000,0,nnnn,-1110,1272,-2185,1345,BCUU,,2M
J025942.59+002154.2,44.9274718,0.3650814,Im,16.702,0.078,16.875,0.363,12.85,0.534,9.237,0.504,,,,,,,0000,0,nnnn,-38,556,-716,587,ACCC,,2M
J025944.00+002217.7,44.9333425,0.3715918,Im,16.97,0.102,15.786,0.143,12.384,,8.781,,,,,,,,0000,0,nnnn,633,633,-49,681,ABUU,,2M
J025947.18+002159.6,44.9465977,0.3665638,Im,15.937,0.05,14.845,0.066,11.599,0.187,8.418,0.285,,,,,,,0000,0,01nn,-216,238,-304,255,AABB,,2M
J025945.83+002207.8,44.9409699,0.3688403,Im,17.927,0.218,16.938,0.359,12.766,,9.252,,,,,,,,0000,0,nnnn,5730,1685,2876,1738,BCUU,,2M
J025948.06+002236.8,44.950251,0.3769104,Im,17.728,0.194,16.764,0.31,12.198,,8.391,,,,,,,,0000,0,nnnn,550,1539,-655,1622,BBUU,,2M
J025947.03+002243.6,44.9459848,0.3787861,Im,17.054,0.102,16.545,0.243,12.931,,8.723,,,,,,,,0000,0,nnnn,-144,761,703,801,ABUU,,2M
J025942.94+002218.8,44.9289471,0.3718923,Im,16.536,0.07,16.281,0.213,12.501,0.397,8.711,,,,,,,,0000,0,0nnn,213,482,509,506,ABCU,,2M
J025942.17+002229.4,44.9257499,0.3748507,Im,16.835,0.092,16.618,0.253,12.234,,8.986,,,,,,,,0000,0,nnnn,-1382,672,532,712,ABUU,,2M
J025943.05+002236.9,44.9293901,0.3769434,Im,15.318,0.036,15.056,0.074,12.6,,9.257,,16.786,0.17,16.242,0.229,15.619,0.258,0000,0,01nn,192,163,-270,170,AAUU,0.467,2M
J025945.26+002244.4,44.938586,0.3790128,Im,17.394,0.14,17.161,0.458,12.714,,9.234,,,,,,,,0000,0,nnnn,-1489,1133,-7,1176,BCUU,,2M
J025942.93+002259.5,44.9289017,0.3832098,Im,16.273,0.059,15.998,0.162,12.596,,8.961,,16.64,0.156,16.387,,15.575,,0000,0,0nnn,143,374,1323,398,ABUU,0.783,2M
J025948.73+002238.1,44.9530562,0.3772698,Im,17.875,0.218,16.575,,12.474,,8.838,,,,,,,,0000,0,nnnn,397,1837,880,1951,BUUU,,2M
J025951.25+002301.0,44.9635742,0.3836259,Im,14.994,0.033,13.906,0.038,10.55,0.077,8.217,0.226,,,,,,,0000,0,110n,-186,124,118,131,AAAB,,2M
J025952.89+002309.6,44.9703829,0.3860265,Im,16.281,0.058,16.067,0.163,12.817,,9.191,,16.668,0.162,16.154,0.187,15.857,,0000,0,1nnn,193,387,-7,403,ABUU,0.182,2M
J025950.51+002324.2,44.9604819,0.3900672,Im,17.042,0.103,16.848,0.326,12.074,,9.243,,,,,,,,0000,0,nnnn,818,812,-610,852,ABUU,,2M
J025947.92+002330.9,44.9496988,0.3919251,Im,15.534,0.039,15.454,0.103,12.791,,8.721,,,,,,,,0000,0,0nnn,203,194,-226,204,AAUU,,2M
J025949.26+002350.6,44.9552501,0.3974083,Im,16.643,0.077,16.613,0.271,12.213,,9.154,,,,,,,,0000,0,0nnn,-507,555,216,587,ABUU,,2M
J025950.46+002416.3,44.9602742,0.4045511,Im,17.645,0.176,16.693,0.283,12.764,,8.9,,,,,,,,0000,0,nnnn,948,1319,-2410,1417,BBUU,,2M
J025947.71+002400.4,44.9488215,0.4001212,Im,16.432,0.066,16.035,0.164,12.757,0.537,9.215,,,,,,,,0000,0,0nnn,-143,420,-476,442,ABCU,,2M
J030000.23+002235.9,45.0009773,0.3766549,Im,16.403,0.064,16.918,0.35,12.75,,9.219,,,,,,,,0000,0,0nnn,-2,449,-138,466,ABUU,,2M
J030001.17+002239.4,45.0049087,0.3776123,Im,17.176,0.116,16.726,0.285,12.294,,8.618,,,,,,,,0000,0,nnnn,-696,866,708,923,BBUU,,2M
J030001.68+002300.6,45.0070097,0.3835104,Im,16.921,0.096,16.462,0.241,12.567,0.489,8.817,,,,,,,,0000,0,nnnn,133,699,620,740,ABCU,,2M
J030001.15+002305.0,45.0047932,0.384748,Im,17.017,0.104,16.303,0.211,12.478,,8.826,,,,,,,,0000,0,nnnn,-582,739,-663,772,ABUU,,2M
J025958.38+002257.2,44.9932523,0.3825567,Im,16.425,0.067,16.031,0.158,12.246,,8.805,,,,,,,,0000,0,1nnn,-344,439,-100,459,ABUU,,2M
J030000.30+002303.4,45.001276,0.3842829,Im,14.818,0.031,14.414,0.049,12.01,0.256,9.083,0.44,16.359,,15.613,0.135,14.702,,0000,0,00nn,38,118,40,122,AABC,0.502,2M
J030003.19+002304.5,45.0133125,0.38459,Im,17.529,0.157,17.475,,12.557,,9.108,,,,,,,,0000,0,nnnn,1376,1303,-1051,1340,BUUU,,2M
J030004.27+002328.3,45.017817,0.3912009,Im,16.323,0.061,16.471,0.232,12.7,,8.722,,,,,,,,0000,0,0nnn,395,399,124,412,ABUU,,2M
J030000.54+002325.3,45.0022657,0.3903744,Im,15.955,0.181,15.933,0.256,12.257,,8.978,,16.949,0.206,16.2,0.225,15.733,0.266,0000,0,nnnn,675,388,108,409,BBUU,0.93,2M
J030000.72+002332.5,45.00302,0.3923695,Im,14.367,0.028,14.338,0.046,12.221,,8.896,,15.035,0.046,14.573,0.052,14.528,0.101,0000,0,00nn,-82,80,-111,83,AAUU,0.361,2M
J030003.11+002343.8,45.0129598,0.3955177,Im,16.922,0.098,16.021,0.155,12.514,,8.932,,,,,,,,0000,0,nnnn,408,663,284,690,ABUU,,2M
J030003.34+002352.0,45.0139487,0.3978045,Im,15.774,0.045,15.87,0.134,12.656,,9.133,,17.718,,15.911,0.163,15.549,0.248,0000,0,0nnn,420,253,-462,261,ABUU,0.269,2M
J030001.85+002350.5,45.007714,0.3973626,Im,17.321,0.131,16.795,,12.073,,8.612,,,,,,,,0000,0,nnnn,-370,1159,110,1184,BUUU,,2M
J025955.84+002337.2,44.9826826,0.3936846,Im,17.07,0.107,17.249,0.483,12.827,,9.063,,,,,,,,0000,0,nnnn,-62,820,-991,871,ACUU,,2M
